pseudofile,ecutwfc,ecutrho
Ac.pbe-spfn-rrkjus_psl.1.0.0.UPF,48.4106923035429,328.135829352194
Ag.pbe-dn-rrkjus_psl.0.1.UPF,32.0508209979998,164.714434116741
Ag.pbe-n-rrkjus_psl.1.0.0.UPF,45.133927464171,180.535709856684
Ag.pbe-spn-rrkjus_psl.0.3.1.UPF,62.6270632416371,407.982992113154
Ag.pbe-spn-rrkjus_psl.1.0.0.UPF,62.6270632416371,407.982992113154
Al.pbe-n-rrkjus_psl.0.1.UPF,36.1315175142272,144.526070056909
Al.pbe-n-rrkjus_psl.1.0.0.UPF,29.4943026984848,143.483662147689
Al.pbe-nl-rrkjus_psl.1.0.0.UPF,28.531721308171,120.557354406085
Am.pbe-spfn-rrkjus_psl.1.0.0.UPF,48.480591999872,284.353331722861
Ar.pbe-n-rrkjus_psl.0.3.0.UPF,26.0278888407656,225.471244580625
Ar.pbe-n-rrkjus_psl.1.0.0.UPF,47.5965082958769,225.141851164376
Ar.pbe-nl-rrkjus_psl.1.0.0.UPF,46.1944431508375,189.00407026941
As.pbe-dn-rrkjus_psl.0.3.1.UPF,54.1063504611618,251.578838100165
As.pbe-dn-rrkjus_psl.1.0.0.UPF,42.6248276253242,288.867131564484
As.pbe-n-rrkjus_psl.0.2.UPF,19.9067571458288,103.137455401762
As.pbe-n-rrkjus_psl.1.0.0.UPF,19.9067571458288,103.137455391061
At.pbe-dn-rrkjus_psl.0.3.1.UPF,63.051533202854,463.323262847148
At.pbe-dn-rrkjus_psl.1.0.0.UPF,50.333849503422,470.859370902683
Au.pbe-dn-rrkjus_psl.0.3.0.UPF,26.1241959299631,356.549925537181
Au.pbe-n-rrkjus_psl.1.0.0.UPF,40.9894562512901,363.694950302455
Au.pbe-spfn-rrkjus_psl.1.0.0.UPF,68.221274338303,375.84476910104
Au.pbe-spn-rrkjus_psl.0.2.4.UPF,46.1168920465576,389.121434942625
Au.pbe-spn-rrkjus_psl.1.0.0.UPF,68.221274338303,353.24127328718
B.pbe-n-rrkjus_psl.0.1.UPF,47.7764760882474,216.334340756979
B.pbe-n-rrkjus_psl.1.0.0.UPF,42.5887378363066,324.567064108007
Ba.pbe-spn-rrkjus_psl.0.2.3.UPF,28.3310637004517,166.168215807431
Ba.pbe-spn-rrkjus_psl.1.0.0.UPF,37.4096100144753,175.780227493119
Be.pbe-n-rrkjus_psl.0.2.UPF,30.0540470667662,197.28260646169
Be.pbe-n-rrkjus_psl.1.0.0.UPF,33.0447523239799,132.17900929592
